!SIL 1.0	sil
<UNK> 1.0	spn
przyrostowej-	1.0	p S i2 r o s t o v e j e
nabierzesz	1.0	n a b i e Z e S
punkt	1.0	p u n k t
tytułem	1.0	t i2 t u w e m
dziwami	1.0	dzj i v a m i
znajomi	1.0	z n a j o m i
przykładam	1.0	p S i2 k w a d a m
nigdy	1.0	n i g d i2
rozmaite	1.0	r o z m a i t e
wstrzymany	1.0	v s t S i2 m a n i2
stać	1.0	s t a tsj
kolano	1.0	k o l a n o
banalną	1.0	b a n a l n oc5
odbicie	1.0	o d b i tsj e
telewizorem	1.0	t e l e v i z o r e m
pytali	1.0	p i2 t a l j
jaki	1.0	j a k i
olbrzymi	1.0	o l b Z i2 m i
ostatnie	1.0	o s t a t n i e
końcu	1.0	k o n~ c u
underwear	1.0	u n d e r v e a r
boski	1.0	b o s k i
spokój	1.0	s p o k u j
zyskuje	1.0	z i2 s k u j e
profesjonalnie	1.0	p r o f e s j o n a l n i e
jean	1.0	j e a n
podpisywać	1.0	p o d p i s i2 v a tsj
idealnym	1.0	i d e a l n i2 m
kumulacji	1.0	k u m u l a c j i
fatalną	1.0	f a t a l n oc5
komunię	1.0	k o m u n i e
gęby	1.0	g eo5 b i2
zwolennikom	1.0	z v o l e n n i k o m
historię	1.0	h j s t o r j e
rozwiązać	1.0	r o z v i oc5 z a tsj
wojnę	1.0	v o j n e
opierał	1.0	o p i e r a w
uniknąć	1.0	u n i k n oc5 tsj
straszliwie	1.0	s t r a S l j v i e
feynmana	1.0	f e i2 n m a n a
zamczyska	1.0	z a m tS i2 s k a
pewnej	1.0	p e v n e j
korzystam	1.0	k o Z i2 s t a m
czyśćca	1.0	tS i2 sj tsj c a
not	1.0	n o t
straciła	1.0	s t r a tsj i w a
absolutnym	1.0	a b s o l u t n i2 m
świąt	1.0	sj v i oc5 t
czuję	1.0	tS u j e
regionalnych	1.0	r e g i o n a l n i2 h
gaszę	1.0	g a S e
rozproszonych	1.0	r o z p r o S o n i2 h
świńskim	1.0	sj v i n~ s k i m
sprytnym	1.0	s p r i2 t n i2 m
wiary	1.0	v i a r i2
odbędzie	1.0	o d b eo5 dzj e
byliśmy	1.0	b i2 l j sj m i2
zewnętrzny	1.0	z e v n eo5 t S n i2
ludzkości	1.0	l u dz k o sj tsj i
prezentację	1.0	p r e z e n t a c j e
murami	1.0	m u r a m i
wydobycia	1.0	v i2 d o b i2 tsj a
imię	1.0	i m i e
odpoczynku	1.0	o d p o tS i2 n k u
tajny	1.0	t a j n i2
krwistych	1.0	k r v i s t i2 h
ponosi	1.0	p o n o sj i
paul	1.0	p a u l
sądzić	1.0	s oc5 dzj i tsj
profesjonalnych	1.0	p r o f e s j o n a l n i2 h
zachowań	1.0	z a h o v a n~
wartości	1.0	v a r t o sj tsj i
kostiumach	1.0	k o s t j u m a h
zagadnienie	1.0	z a g a d n i e n i e
udają	1.0	u d a j oc5
futurystyczna	1.0	f u t u r i2 s t i2 tS n a
mówienia	1.0	m u v i e n i a
wstydu	1.0	v s t i2 d u
annie	1.0	a n n i e
rozbiję	1.0	r o z b i j e
patrzcie	1.0	p a t S tsj e
wytarte	1.0	v i2 t a r t e
zielonego	1.0	zj e l o n e g o
niespokojny	1.0	n i e s p o k o j n i2
pozostawić	1.0	p o z o s t a v i tsj
progi	1.0	p r o g i
porażony	1.0	p o r a Z o n i2
byłoby	1.0	b i2 w o b i2
urodziło	1.0	u r o dzj i w o
obejmuje	1.0	o b e j m u j e
zachowywać	1.0	z a h o v i2 v a tsj
i	1.0	i
stuleci	1.0	s t u l e tsj i
łaszyńskich	1.0	w a S i2 n~ s k i h
przekonana	1.0	p S e k o n a n a
krewniak	1.0	k r e v n i a k
piękniejszy	1.0	p i eo5 k n i e j S i2
muszę	1.0	m u S e
wybrzeżach	1.0	v i2 b Z e Z a h
odpadłaś	1.0	o d p a d w a sj
dłońmi	1.0	d w o n~ m i
barwnika	1.0	b a r v n i k a
długa	1.0	d w u g a
przeszłości	1.0	p S e S w o sj tsj i
zmianie	1.0	z m i a n i e
powiada	1.0	p o v i a d a
zabijał	1.0	z a b i j a w
wrażliwość	1.0	v r a Z l j v o sj tsj
brałam	1.0	b r a w a m
inne	1.0	i n n e
kolacje	1.0	k o l a c j e
razem	1.0	r a z e m
znaczącym	1.0	z n a tS oc5 c i2 m
szanowany	1.0	S a n o v a n i2
prozaiczny	1.0	p r o z a i tS n i2
obdarzonych	1.0	o b d a Z o n i2 h
przemianę	1.0	p S e m i a n e
życzenie	1.0	Z i2 tS e n i e
wykazał	1.0	v i2 k a z a w
procesu	1.0	p r o c e s u
wytropiła	1.0	v i2 t r o p i w a
oglądałaś	1.0	o g l oc5 d a w a sj
pracownicy	1.0	p r a c o v n i c i2
tworzeniem	1.0	t f o Z e n i e m
przekazach	1.0	p S e k a z a h
zdarza	1.0	z d a Z a
nas	1.0	n a s
wydaje	1.0	v i2 d a j e
śmierć	1.0	sj m i e r tsj
należą	1.0	n a l e Z oc5
krzątał	1.0	k S oc5 t a w
nauki	1.0	n a u k i
przystąpimy	1.0	p S i2 s t oc5 p i m i2
czele	1.0	tS e l e
poszukiwacz	1.0	p o S u k i v a tS
oni	1.0	o n i
ekspresji	1.0	e k s p r e s j i
poczuć	1.0	p o tS u tsj
kimś-	1.0	k i m sj e
zabrzmi	1.0	z a b Z m i
utworzy	1.0	u t f o Z i2
przedostatni	1.0	p S e d o s t a t n i
państwowego	1.0	p a n~ s t f o v e g o
3	1.0	S i2
swobodna	1.0	s v o b o d n a
polski	1.0	p o l s k i
przekroczenie	1.0	p S e k r o tS e n i e
komtur	1.0	k o m t u r
aparat	1.0	a p a r a t
określonego	1.0	o k r e sj l o n e g o
wolno	1.0	v o l n o
ziemia	1.0	zj e m i a
wietnamie	1.0	v i e t n a m i e
równi	1.0	r u v n i
punktem	1.0	p u n k t e m
umyciu	1.0	u m i2 tsj u
ramionami	1.0	r a m i o n a m i
górnej	1.0	g u r n e j
gdera:-	1.0	g d e r a e
szanowani	1.0	S a n o v a n i
specjalnego	1.0	s p e c j a l n e g o
gomułki	1.0	g o m u w k i
wysiadają	1.0	v i2 tsj a d a j oc5
70	1.0	sj t
ckm	1.0	c k m
bawary	1.0	b a v a r i2
przeżywałeś	1.0	p S e Z i2 v a w e sj
spaść	1.0	s p a sj tsj
teksty	1.0	t e k s t i2
chaosie	1.0	h a o sj e
mór	1.0	m u r
ciało	1.0	tsj a w o
potwierdzi	1.0	p o t f i e r dzj i
królewic	1.0	k r u l e v i c
możliwościach	1.0	m o Z l j v o sj tsj a h
potrafi	1.0	p o t r a f i
działy	1.0	dzj a w i2
żertwę	1.0	Z e r t f e
owszem	1.0	o v S e m
była	1.0	b i2 w a
młodzieńca	1.0	m w o dzj e n~ c a
itd	1.0	i t d
podziemnego	1.0	p o dzj e m n e g o
stara	1.0	s t a r a
merkury	1.0	m e r k u r i2
szefową	1.0	S e f o v oc5
zaś	1.0	z a sj
młodego	1.0	m w o d e g o
drzwiach	1.0	d Z v i a h
nagięty	1.0	n a g i eo5 t i2
przyjaciołom	1.0	p S i2 j a tsj o w o m
podłoża	1.0	p o d w o Z a
kuchennej	1.0	k u h e n n e j
powstrzymać	1.0	p o v s t S i2 m a tsj
przywróceniu	1.0	p S i2 v r u c e n i u
segmentach	1.0	s e g m e n t a h
otworzyło	1.0	o t f o Z i2 w o
budzi	1.0	b u dzj i
kołatał	1.0	k o w a t a w
szanse	1.0	S a n s e
sześciuset	1.0	S e sj tsj u s e t
miliardów	1.0	m i l j a r d u v
mądrości	1.0	m oc5 d r o sj tsj i
każdą	1.0	k a Z d oc5
modułu	1.0	m o d u w u
niewzruszalną	1.0	n i e v z r u S a l n oc5
niosą	1.0	n i o s oc5
inny	1.0	i n n i2
substancji	1.0	s u b s t a n c j i
pięciu	1.0	p i eo5 tsj u
przemieniające	1.0	p S e m i e n i a j oc5 c e
niektórych	1.0	n i e k t u r i2 h
janusza	1.0	j a n u S a
loki	1.0	l o k i
sami	1.0	s a m i
zmielonych	1.0	z m i e l o n i2 h
musimy	1.0	m u sj i m i2
niedoczytanej	1.0	n i e d o tS i2 t a n e j
gdy	1.0	g d i2
najbardziej	1.0	n a j b a r dzj e j
powrócił	1.0	p o v r u tsj i w
krzyż	1.0	k S i2 S
felietony	1.0	f e l j e t o n i2
żeby	1.0	Z e b i2
opromienione	1.0	o p r o m i e n i o n e
łabą	1.0	w a b oc5
chodzi	1.0	h o dzj i
dusza	1.0	d u S a
fair	1.0	f a i r
wiedząc	1.0	v i e dz oc5 c
stworzeniu	1.0	s t f o Z e n i u
wstąpić	1.0	v s t oc5 p i tsj
uniknąłby	1.0	u n i k n oc5 w b i2
sądzą	1.0	s oc5 dz oc5
upodobał	1.0	u p o d o b a w
nieba	1.0	n i e b a
wywołaną	1.0	v i2 v o w a n oc5
rozpalania	1.0	r o z p a l a n i a
jezu	1.0	j e z u
zdobywał	1.0	z d o b i2 v a w
odbywa	1.0	o d b i2 v a
skończy	1.0	s k o n~ tS i2
samochodowe	1.0	s a m o h o d o v e
integralny	1.0	i n t e g r a l n i2
faulkner	1.0	f a u l k n e r
zapisał	1.0	z a p i s a w
niejeden	1.0	n i e j e d e n
oglądali	1.0	o g l oc5 d a l j
paru	1.0	p a r u
ludziom	1.0	l u dzj o m
prawo	1.0	p r a v o
fantastycznie	1.0	f a n t a s t i2 tS n i e
wydarzenia	1.0	v i2 d a Z e n i a
skandalu	1.0	s k a n d a l u
true	1.0	t r u e
obowiązkami	1.0	o b o v i oc5 z k a m i
odrzuceniu	1.0	o d Z u c e n i u
powieściowy	1.0	p o v i e sj tsj o v i2
nieprzyjaciel	1.0	n i e p S i2 j a tsj e l
mieszkanka	1.0	m i e S k a n k a
swą	1.0	s v oc5
zamierzony	1.0	z a m i e Z o n i2
cnotę	1.0	c n o t e
możemy	1.0	m o Z e m i2
nieładne	1.0	n i e w a d n e
leśne	1.0	l e sj n e
syn	1.0	s i2 n
boskich	1.0	b o s k i h
teutońskiego	1.0	t e u t o n~ s k i e g o
kilograma	1.0	k i l o g r a m a
niebezpiecznych	1.0	n i e b e z p i e tS n i2 h
pory	1.0	p o r i2
poręki	1.0	p o r eo5 k i
władzę	1.0	v w a dz e
kobieta	1.0	k o b i e t a
przychodzimy	1.0	p S i2 h o dzj i m i2
lubrykantem	1.0	l u b r i2 k a n t e m
bieliznę	1.0	b i e l j z n e
zwykli	1.0	z v i2 k l j
powrotem	1.0	p o v r o t e m
popełnić	1.0	p o p e w n i tsj
nadzieja	1.0	n a dzj e j a
celebrując	1.0	c e l e b r u j oc5 c
borami	1.0	b o r a m i
podaje	1.0	p o d a j e
sobie	1.0	s o b i e
informowania	1.0	i n f o r m o v a n i a
odwiecznych	1.0	o d v i e tS n i2 h
owej	1.0	o v e j
szanowaną	1.0	S a n o v a n oc5
gęstość	1.0	g eo5 s t o sj tsj
część	1.0	tS eo5 sj tsj
poszukiwaniu	1.0	p o S u k i v a n i u
poematu	1.0	p o e m a t u
chwycił	1.0	h v i2 tsj i w
ciotka	1.0	tsj o t k a
steków	1.0	s t e k u v
środowisku	1.0	sj r o d o v i s k u
krzywoustego	1.0	k S i2 v o u s t e g o
strzały	1.0	s t S a w i2
testamencie	1.0	t e s t a m e n tsj e
uzależnionych	1.0	u z a l e Z n i o n i2 h
obraża	1.0	o b r a Z a
wyjścia	1.0	v i2 j sj tsj a
potem	1.0	p o t e m
procent	1.0	p r o c e n t
dobra	1.0	d o b r a
sama	1.0	s a m a
studentki	1.0	s t u d e n t k i
doskonała	1.0	d o s k o n a w a
bardzo	1.0	b a r dz o
musisz	1.0	m u sj i S
moc	1.0	m o c
opowiadania	1.0	o p o v i a d a n i a
suwak	1.0	s u v a k
ziemi	1.0	zj e m i
it	1.0	i t
bryki	1.0	b r i2 k i
syntezy	1.0	s i2 n t e z i2
godność	1.0	g o d n o sj tsj
minimum	1.0	m i n i m u m
podniety	1.0	p o d n i e t i2
analityk	1.0	a n a l j t i2 k
mascara	1.0	m a s c a r a
potęgą	1.0	p o t eo5 g oc5
firmy	1.0	f i r m i2
zasobów	1.0	z a s o b u v
stworzoną	1.0	s t f o Z o n oc5
przekracza	1.0	p S e k r a tS a
wczołgiwanie	1.0	v tS o w g i v a n i e
przekonałaś	1.0	p S e k o n a w a sj
centrum	1.0	c e n t r u m
krył	1.0	k r i2 w
umysł	1.0	u m i2 s w
uważasz	1.0	u v a Z a S
chorobie	1.0	h o r o b i e
urzędnik	1.0	u Z eo5 d n i k
katedrę	1.0	k a t e d r e
wszelkie	1.0	v S e l k i e
wymasuj	1.0	v i2 m a s u j
strategię	1.0	s t r a t e g i e
osoby	1.0	o s o b i2
nazywany	1.0	n a z i2 v a n i2
nowemu	1.0	n o v e m u
ja	1.0	j a
popatrzeć	1.0	p o p a t S e tsj
praca	1.0	p r a c a
zapisywałem	1.0	z a p i s i2 v a w e m
dochodowego	1.0	d o h o d o v e g o
lekcji	1.0	l e k c j i
miałoby	1.0	m i a w o b i2
wyprodukował	1.0	v i2 p r o d u k o v a w
pseudonimem	1.0	p s e u d o n i m e m
strasznie	1.0	s t r a S n i e
romanse	1.0	r o m a n s e
głębia	1.0	g w eo5 b i a
eseju	1.0	e s e j u
lekarzy	1.0	l e k a Z i2
wnet	1.0	v n e t
weselą	1.0	v e s e l oc5
platonie	1.0	p l a t o n i e
drogą	1.0	d r o g oc5
wyobrazić	1.0	v i2 o b r a zj i tsj
wrzask	1.0	v Z a s k
był	1.0	b i2 w
urządzenia	1.0	u Z oc5 dz e n i a
chojnickiej	1.0	h o j n i c k i e j
30	1.0	o
william	1.0	v i l l j a m
skrwawiony	1.0	s k r v a v i o n i2
pustki	1.0	p u s t k i
dwunastu	1.0	d v u n a s t u
pewnością	1.0	p e v n o sj tsj oc5
fiołkami	1.0	f i o w k a m i
sceptyk	1.0	s c e p t i2 k
pokazującą	1.0	p o k a z u j oc5 c oc5
ceremonii	1.0	c e r e m o n i i
napastnicy	1.0	n a p a s t n i c i2
bujasz	1.0	b u j a S
przyjmują	1.0	p S i2 j m u j oc5
prawnych	1.0	p r a v n i2 h
frontpage	1.0	f r o n t p a g e
wypraszając	1.0	v i2 p r a S a j oc5 c
naszemu	1.0	n a S e m u
swej	1.0	s v e j
antyku	1.0	a n t i2 k u
ambitni	1.0	a m b i t n i
bruyere	1.0	b r u i2 e r e
lovers	1.0	l o f e r s
żwawo	1.0	Z v a v o
zła	1.0	z w a
grudka	1.0	g r u t k a
kaca	1.0	k a c a
tworzywa	1.0	t f o Z i2 v a
pieszczotą	1.0	p i e S tS o t oc5
wyścigu	1.0	v i2 sj tsj i g u
zostało	1.0	z o s t a w o
bezkarnie	1.0	b e z k a r n i e
religijną	1.0	r e l j g i j n oc5
supermocny	1.0	s u p e r m o c n i2
opatom	1.0	o p a t o m
bólu	1.0	b u l u
rozłąki	1.0	r o z w oc5 k i
lubiłem	1.0	l u b i w e m
aplikacji	1.0	a p l j k a c j i
masaże	1.0	m a s a Z e
przestrogi	1.0	p S e s t r o g i
rycerzom-	1.0	r i2 c e Z o m e
dotykają	1.0	d o t i2 k a j oc5
czynów	1.0	tS i2 n u v
aromatycznych	1.0	a r o m a t i2 tS n i2 h
piraci	1.0	p i r a tsj i
sieci	1.0	sj e tsj i
obodryci	1.0	o b o d r i2 tsj i
wetknąć	1.0	v e t k n oc5 tsj
u	1.0	u
stanie	1.0	s t a n i e
ich	1.0	i h
punktualności	1.0	p u n k t u a l n o sj tsj i
odpadł	1.0	o d p a d w
układzie	1.0	u k w a dzj e
dziwne	1.0	dzj i v n e
gburstwa	1.0	g b u r s t f a
jądrze	1.0	j oc5 d Z e
zrozumieniu	1.0	z r o z u m i e n i u
przestrzeni	1.0	p S e s t S e n i
wstąpi	1.0	v s t oc5 p i
swoje	1.0	s v o j e
orfeusz	1.0	o r f e u S
przygotowanie	1.0	p S i2 g o t o v a n i e
działo	1.0	dzj a w o
francuskiego	1.0	f r a n c u s k i e g o
pana	1.0	p a n a
stosowanie	1.0	s t o s o v a n i e
znajduje	1.0	z n a j d u j e
shu-king	1.0	s h u k i n g
kamieni	1.0	k a m i e n i
poszła	1.0	p o S w a
menu	1.0	m e n u
przynosi	1.0	p S i2 n o sj i
posłał	1.0	p o s w a w
wielu	1.0	v i e l u
warto	1.0	v a r t o
autorytet	1.0	a u t o r i2 t e t
niemal	1.0	n i e m a l
największy	1.0	n a j v i eo5 k S i2
30-letnia	1.0	o l e t n i a
charakterystyczna	1.0	h a r a k t e r i2 s t i2 tS n a
opłakania	1.0	o p w a k a n i a
słyszałem	1.0	s w i2 S a w e m
odrealniony	1.0	o d r e a l n i o n i2
najlepszej	1.0	n a j l e p S e j
zostaniemy	1.0	z o s t a n i e m i2
wieki	1.0	v i e k i
smaczna	1.0	s m a tS n a
lekceważyć	1.0	l e k c e v a Z i2 tsj
odrazy	1.0	o d r a z i2
takie	1.0	t a k i e
latać	1.0	l a t a tsj
coś	1.0	c o sj
mistrza	1.0	m i s t S a
wieków	1.0	v i e k u v
ukazującego	1.0	u k a z u j oc5 c e g o
ciężar	1.0	tsj eo5 Z a r
ojca	1.0	o j c a
lusterka	1.0	l u s t e r k a
literowe	1.0	l j t e r o v e
kupić	1.0	k u p i tsj
zapytam	1.0	z a p i2 t a m
mój	1.0	m u j
będziesz	1.0	b eo5 dzj e S
opat	1.0	o p a t
pięknego	1.0	p i eo5 k n e g o
obserwatora	1.0	o b s e r v a t o r a
pomińmy	1.0	p o m i n~ m i2
możliwe	1.0	m o Z l j v e
przyznać	1.0	p S i2 z n a tsj
następujących	1.0	n a s t eo5 p u j oc5 c i2 h
mama	1.0	m a m a
kształtów	1.0	k S t a w t u v
przyjmuję	1.0	p S i2 j m u j e
pejzaż	1.0	p e j z a S
rzuceniu	1.0	Z u c e n i u
mocami	1.0	m o c a m i
on	1.0	o n
wiatrem	1.0	v i a t r e m
znanych	1.0	z n a n i2 h
unosisz	1.0	u n o sj i S
cat	1.0	c a t
umieli	1.0	u m i e l j
puste	1.0	p u s t e
obciążeniem	1.0	o b tsj oc5 Z e n i e m
rodzice	1.0	r o dzj i c e
wskazać	1.0	v s k a z a tsj
uciekł	1.0	u tsj e k w
czyn	1.0	tS i2 n
temat	1.0	t e m a t
materialność	1.0	m a t e r j a l n o sj tsj
obiektów	1.0	o b i e k t u v
księstwa	1.0	k sj eo5 s t f a
adrenaliny	1.0	a d r e n a l j n i2
and	1.0	a n d
sade	1.0	s a d e
otrucia	1.0	o t r u tsj a
taki	1.0	t a k i
środka	1.0	sj r o t k a
medycyna	1.0	m e d i2 c i2 n a
konflikt	1.0	k o n f l j k t
uczył	1.0	u tS i2 w
przeszywał	1.0	p S e S i2 v a w
pozwala	1.0	p o z v a l a
spoczywające	1.0	s p o tS i2 v a j oc5 c e
ruszył	1.0	r u S i2 w
z	1.0	z
produktów	1.0	p r o d u k t u v
zleciało	1.0	z l e tsj a w o
najszybciej	1.0	n a j S i2 b tsj e j
aktorska	1.0	a k t o r s k a
ot	1.0	o t
antycznej	1.0	a n t i2 tS n e j
fabryką	1.0	f a b r i2 k oc5
skarpety	1.0	s k a r p e t i2
wałeczki	1.0	v a w e tS k i
naruszających	1.0	n a r u S a j oc5 c i2 h
radzić	1.0	r a dzj i tsj
znak	1.0	z n a k
mieli	1.0	m i e l j
natury	1.0	n a t u r i2
zostaną	1.0	z o s t a n oc5
warszawscy	1.0	v a r S a v s c i2
całą	1.0	c a w oc5
enough	1.0	e n o u g h
mózgu	1.0	m u z g u
wypełnia	1.0	v i2 p e w n i a
dopingowała	1.0	d o p i n g o v a w a
marzyła	1.0	m a Z i2 w a
hermes	1.0	h e r m e s
chromosom	1.0	h r o m o s o m
choć	1.0	h o tsj
zakonem	1.0	z a k o n e m
zamknął	1.0	z a m k n oc5 w
dorzucić	1.0	d o Z u tsj i tsj
biegali	1.0	b i e g a l j
ciekawe	1.0	tsj e k a v e
urodził	1.0	u r o dzj i w
odstępujesz	1.0	o d s t eo5 p u j e S
postaciach	1.0	p o s t a tsj a h
śląska	1.0	sj l oc5 s k a
poganami	1.0	p o g a n a m i
powodzenia	1.0	p o v o dz e n i a
członek	1.0	tS w o n e k
nauczyciel	1.0	n a u tS i2 tsj e l
zewnętrznej	1.0	z e v n eo5 t S n e j
mu	1.0	m u
naświetlonej	1.0	n a sj v i e t l o n e j
kujawy	1.0	k u j a v i2
warstwą	1.0	v a r s t f oc5
pluta	1.0	p l u t a
ów	1.0	u v
nastolatki	1.0	n a s t o l a t k i
powątpiewać	1.0	p o v oc5 t p i e v a tsj
znacznie	1.0	z n a tS n i e
drugiej	1.0	d r u g i e j
układ	1.0	u k w a d
pociągnęła	1.0	p o tsj oc5 g n eo5 w a
kompletnej	1.0	k o m p l e t n e j
względu	1.0	v z g l eo5 d u
poszukać	1.0	p o S u k a tsj
pokój	1.0	p o k u j
uchodzą	1.0	u h o dz oc5
eklektyczną	1.0	e k l e k t i2 tS n oc5
czytelników	1.0	tS i2 t e l n i k u v
krótkie	1.0	k r u t k i e
czyli	1.0	tS i2 l j
pozostaje	1.0	p o z o s t a j e
politykiem	1.0	p o l j t i2 k i e m
zachwyt	1.0	z a h v i2 t
gronostajami	1.0	g r o n o s t a j a m i
zamieszkałych	1.0	z a m i e S k a w i2 h
wierzysz	1.0	v i e Z i2 S
wyznawców-	1.0	v i2 z n a v c u v
odpowiedzialnego	1.0	o d p o v i e dzj a l n e g o
tłumaczy	1.0	t w u m a tS i2
jezusa	1.0	j e z u s a
ściany	1.0	sj tsj a n i2
niekłamaną	1.0	n i e k w a m a n oc5
dotrzeć	1.0	d o t S e tsj
ćwiczy	1.0	tsj v i tS i2
napełnia	1.0	n a p e w n i a
upierzone	1.0	u p i e Z o n e
szmat	1.0	S m a t
stąd	1.0	s t oc5 d
izraela	1.0	i z r a e l a
łodzie	1.0	w o dzj e
głosów	1.0	g w o s u v
trąbce	1.0	t r oc5 b c e
skoro	1.0	s k o r o
zdjął	1.0	z d j oc5 w
mimo	1.0	m i m o
to	1.0	t o
gra	1.0	g r a
widowiska	1.0	v i d o v i s k a
biodra	1.0	b i o d r a
poznania	1.0	p o z n a n i a
wiarygodna	1.0	v i a r i2 g o d n a
pięć	1.0	p i eo5 tsj
akwinu-	1.0	a k f i n u
cesarski-	1.0	c e s a r s k i e
poprzez	1.0	p o p S e z
daleki	1.0	d a l e k i
testującej	1.0	t e s t u j oc5 c e j
zmysłach	1.0	z m i2 s w a h
awantury	1.0	a v a n t u r i2
czoło	1.0	tS o w o
fryzjerem	1.0	f r i2 z j e r e m
tulum	1.0	t u l u m
tej	1.0	t e j
krainy	1.0	k r a i n i2
camus	1.0	c a m u s
podczas	1.0	p o d tS a s
sprzyjający	1.0	s p S i2 j a j oc5 c i2
diana	1.0	d j a n a
uciekał	1.0	u tsj e k a w
boże	1.0	b o Z e
budowa	1.0	b u d o v a
wysokie	1.0	v i2 s o k i e
kąśliwe	1.0	k oc5 sj l j v e
trzpieniach	1.0	t S p i e n i a h
piłki	1.0	p i w k i
marce	1.0	m a r c e
studiujesz	1.0	s t u d j u j e S
dokumentów	1.0	d o k u m e n t u v
ogarnia	1.0	o g a r n i a
gotów	1.0	g o t u v
niebiosa	1.0	n i e b i o s a
różu	1.0	r u Z u
pollard	1.0	p o l l a r d
oparzenia	1.0	o p a Z e n i a
mordercy	1.0	m o r d e r c i2
zwane	1.0	z v a n e
zwariowała	1.0	z v a r j o v a w a
dotychczas	1.0	d o t i2 h tS a s
amfetaminę	1.0	a m f e t a m i n e
bije	1.0	b i j e
przemieszcza	1.0	p S e m i e S tS a
1987	1.0	v i eo5 t sj oc5 e
uzależnienia	1.0	u z a l e Z n i e n i a
zatoka	1.0	z a t o k a
aktorskiego	1.0	a k t o r s k i e g o
szlachetnych	1.0	S l a h e t n i2 h
którzy	1.0	k t u Z i2
mężowi	1.0	m eo5 Z o v i
umieścimy	1.0	u m i e sj tsj i m i2
ziemią	1.0	zj e m i oc5
sytuacją	1.0	s i2 t u a c j oc5
doniesienia	1.0	d o n i e sj e n i a
mordercami	1.0	m o r d e r c a m i
temu	1.0	t e m u
cierpienia	1.0	tsj e r p i e n i a
maską	1.0	m a s k oc5
siebie	1.0	sj e b i e
opowieść	1.0	o p o v i e sj tsj
nieudana	1.0	n i e u d a n a
bez	1.0	b e z
niczego	1.0	n i tS e g o
krwawego	1.0	k r v a v e g o
pracą	1.0	p r a c oc5
ręki	1.0	r eo5 k i
dwa-	1.0	d v a e
przyjacielem	1.0	p S i2 j a tsj e l e m
poły	1.0	p o w i2
czajki	1.0	tS a j k i
nadmiernym	1.0	n a d m i e r n i2 m
ludu	1.0	l u d u
lasek	1.0	l a s e k
alkoholu	1.0	a l k o h o l u
dziwem	1.0	dzj i v e m
talenty	1.0	t a l e n t i2
gorzej	1.0	g o Z e j
wasza	1.0	v a S a
aleksy	1.0	a l e k s i2
zasięgiem	1.0	z a sj eo5 g i e m
rzymskiej	1.0	Z i2 m s k i e j
zgiełku	1.0	z g i e w k u
znaczy	1.0	z n a tS i2
chodzenia	1.0	h o dz e n i a
loży	1.0	l o Z i2
stróża	1.0	s t r u Z a
przyjmowali	1.0	p S i2 j m o v a l j
zapraszam	1.0	z a p r a S a m
prostak	1.0	p r o s t a k
arcydzieło	1.0	a r c i2 dzj e w o
trwania	1.0	t r v a n i a
gumy	1.0	g u m i2
dół-	1.0	d u w e
komputery	1.0	k o m p u t e r i2
skazani-	1.0	s k a z a n i e
rzymska	1.0	Z i2 m s k a
pomaga	1.0	p o m a g a
tajemnicy	1.0	t a j e m n i c i2
nadwagę	1.0	n a d v a g e
szalem	1.0	S a l e m
ambicji	1.0	a m b i c j i
poruszasz	1.0	p o r u S a S
mogą	1.0	m o g oc5
klasyków	1.0	k l a s i2 k u v
przesławny	1.0	p S e s w a v n i2
rany	1.0	r a n i2
dział	1.0	dzj a w
odrestaurowane	1.0	o d r e s t a u r o v a n e
niektóre	1.0	n i e k t u r e
drogi	1.0	d r o g i
wykorzystujesz	1.0	v i2 k o Z i2 s t u j e S
zaczyn	1.0	z a tS i2 n
sprzedaż	1.0	s p S e d a S
postawie	1.0	p o s t a v i e
internetowym	1.0	i n t e r n e t o v i2 m
chwilce	1.0	h v i l c e
bardziej	1.0	b a r dzj e j
przytyłam	1.0	p S i2 t i2 w a m
216	1.0	d o S e s
lub	1.0	l u b
łodzią	1.0	w o dzj oc5
spadkobiercy	1.0	s p a t k o b i e r c i2
zabawne	1.0	z a b a v n e
zakonnika	1.0	z a k o n n i k a
anna	1.0	a n n a
interfejsu	1.0	i n t e r f e j s u
muszkę	1.0	m u S k e
specjalistów	1.0	s p e c j a l j s t u v
pokornym	1.0	p o k o r n i2 m
absalom	1.0	a b s a l o m
orfeusza	1.0	o r f e u S a
wybór	1.0	v i2 b u r
lotnictwa	1.0	l o t n i c t f a
zdemoralizowanego	1.0	z d e m o r a l j z o v a n e g o
wiarygodnej	1.0	v i a r i2 g o d n e j
zalegał	1.0	z a l e g a w
zestawów	1.0	z e s t a v u v
głośnika	1.0	g w o sj n i k a
przyjściem	1.0	p S i2 j sj tsj e m
wylewali	1.0	v i2 l e v a l j
widziała	1.0	v i dzj a w a
nowe	1.0	n o v e
apostolstwa	1.0	a p o s t o l s t f a
osjan	1.0	o s j a n
szesnastolatek	1.0	S e s n a s t o l a t e k
postrzegany	1.0	p o s t S e g a n i2
wiersze	1.0	v i e r S e
wyniku	1.0	v i2 n i k u
chwili	1.0	h v i l j
według	1.0	v e d w u g
potężnego	1.0	p o t eo5 Z n e g o
alkohol	1.0	a l k o h o l
umarł	1.0	u m a r w
chrystus	1.0	h r i2 s t u s
baśniach	1.0	b a sj n i a h
